Constituen,gss_code,Leave.preds,Remain.preds,LeavePct,RemainPct
Maidenhead,E14001348,24669.53323,28266.47353,0.46602558,0.53397442
Maidstone and Malling,E14001349,30084.97438,22724.48731,0.569689094,0.430310906
Makerfield,E14001350,35016.71557,18149.99477,0.658621069,0.341378932
Maldon,E14001351,37776.88182,24128.08484,0.610239919,0.389760081
Manchester Central,E14001352,20978.8758,25687.48145,0.449550319,0.550449681
Manchester Rusholme,E14001353,10098.21781,21374.64015,0.320854808,0.679145192
Manchester Withington,E14001354,9626.319854,33509.27467,0.223164186,0.776835814
Mansfield,E14001355,38684.2692,15944.79337,0.708126177,0.291873824
Melksham and Devizes,E14001356,27587.60245,27641.5642,0.499511474,0.500488526
Melton and Syston,E14001357,31605.4042,21494.14092,0.595210451,0.404789549
Meriden and Solihull East,E14001358,31707.34977,24763.70554,0.561479675,0.438520325
Merthyr Tydfil and Aberdare,W07000099,26949.89259,21629.68037,0.554757709,0.445242291
Mid Bedfordshire,E14001359,30121.02945,25292.31323,0.543569978,0.456430022
Mid Buckinghamshire,E14001360,26827.0317,29942.0083,0.472564477,0.527435523
Mid Cheshire,E14001361,26333.62706,20293.04494,0.564776038,0.435223962
Mid Derbyshire,E14001362,28571.75894,26086.55145,0.522734031,0.477265969
Mid Dorset and North Poole,E14001363,32672.11667,24682.17183,0.569654293,0.430345707
Mid Dunbartonshire,S14000097,15353.91102,41062.09626,0.272155223,0.727844777
Mid Leicestershire,E14001364,33237.95345,24798.43331,0.57270887,0.427291131
Mid Norfolk,E14001365,29553.00235,17201.72958,0.632085805,0.367914196
Mid Sussex,E14001366,24998.05448,30466.8101,0.450700721,0.549299279
Mid and South Pembrokeshire,W07000100,32076.21103,22967.96522,0.582735781,0.417264219
Middlesbrough South and East Cleveland,E14001368,28938.87493,14881.35363,0.660399908,0.339600092
Middlesbrough and Thornaby East,E14001367,31608.26077,16633.04174,0.655211595,0.344788405
Midlothian,S14000045,17251,28217,0.379409695,0.620590305
Milton Keynes Central,E14001369,24717.22242,26842.11812,0.479393688,0.520606312
Milton Keynes North,E14001370,26168.82607,25454.244,0.506921151,0.49307885
Mitcham and Morden,E14001371,24189.46416,25511.4082,0.486700998,0.513299002
